iter	RMSE
0	0.007681173623
1	0.00763792522
2	0.00760045691
3	0.007566853614
4	0.007532240686
5	0.007495727398
6	0.007463210008
7	0.007433019942
8	0.007402842108
9	0.007373885919
10	0.007345583879
11	0.007319906626
12	0.007294414326
13	0.007273878098
14	0.007253172013
15	0.007233707261
16	0.007212659572
17	0.007193414712
18	0.00717549322
19	0.007158194643
20	0.007143266789
21	0.007127935157
22	0.007113085839
23	0.007097476841
24	0.007084906581
25	0.007071693335
26	0.00706048301
27	0.007048160176
28	0.007036228515
29	0.00702622164
30	0.007013364711
31	0.00700220966
32	0.006992070783
33	0.006979732721
34	0.006968690796
35	0.006958306071
36	0.006949918719
37	0.006942010834
38	0.006933450914
39	0.006925379304
40	0.006915684444
41	0.006904638399
42	0.006896121353
43	0.006886951579
44	0.00687927218
45	0.006876668736
46	0.006867041879
47	0.006862114487
48	0.006856814163
49	0.006855698739
50	0.006848498654
51	0.00684045076
52	0.006836748779
53	0.006828290882
54	0.006819791848
55	0.006815123853
56	0.006811908764
57	0.006807096744
58	0.00679895182
59	0.006793098939
60	0.006786047967
61	0.006780184685
62	0.00677411884
63	0.00677006301
64	0.006766244693
65	0.006761645659
66	0.006757330946
67	0.006753456361
68	0.006748827835
69	0.00674565369
70	0.006741976827
71	0.006734905637
72	0.006732297184
73	0.006725058936
74	0.006719699742
75	0.00671696921
76	0.006712758521
77	0.006707527186
78	0.006702977174
79	0.006699964929
80	0.006694449259
81	0.006688667209
82	0.006684393471
83	0.006682151273
84	0.006678086532
85	0.006674239628
86	0.006668531884
87	0.006665187231
88	0.006660508165
89	0.006659987328
90	0.006657550498
91	0.006651382718
92	0.006650138569
93	0.006646546651
94	0.006642600982
95	0.00663813365
96	0.006635642854
97	0.006631777608
98	0.006627028159
99	0.006624725702
100	0.006619715448
101	0.006616217625
102	0.006614163267
103	0.006609872803
104	0.006607468999
105	0.006600749156
106	0.006597213325
107	0.006595619909
108	0.006592480652
109	0.006588650173
110	0.006584481927
111	0.006581893389
112	0.006578925918
113	0.006575260558
114	0.006572974307
115	0.006571621573
116	0.006568669201
117	0.006566332624
118	0.006562285304
119	0.006557954063
120	0.006554398622
121	0.0065511585
122	0.006549304669
123	0.006546718919
124	0.006542888178
125	0.006538409378
126	0.00653497405
127	0.006532084448
128	0.006532006177
129	0.006528883756
130	0.00652604902
131	0.006521530383
132	0.006520007271
133	0.006518231806
134	0.006516800457
135	0.006513002643
136	0.006509433288
137	0.006509108653
138	0.006505293496
139	0.006501849907
140	0.006498140168
141	0.006496420586
142	0.00649383361
143	0.006490816054
144	0.006488164982
145	0.006482768348
146	0.006479145182
147	0.006474717366
148	0.006471987175
149	0.006469757678
150	0.006468001996
151	0.006464945936
152	0.006462748689
153	0.00645930864
154	0.006456318371
155	0.006452614755
156	0.006449049219
157	0.006445935991
158	0.006442920075
159	0.006440864254
160	0.006436973629
161	0.006433793169
162	0.006431877011
163	0.006429174617
164	0.006427028896
165	0.00642421902
166	0.006420034536
167	0.006417362138
168	0.006415129535
169	0.006412997311
170	0.006409564059
171	0.006407920786
172	0.006405911205
173	0.006402852735
174	0.006401057202
175	0.00639819144
176	0.006397172774
177	0.006392973237
178	0.006391080243
179	0.006388648441
180	0.006386323574
181	0.006381606938
182	0.006379109026
183	0.006377861577
184	0.006374800212
185	0.006373457437
186	0.006371925308
187	0.006369373844
188	0.006365826557
189	0.00636299102
190	0.006361283179
191	0.006359402902
192	0.006357833853
193	0.006355946789
194	0.006353503151
195	0.006353315611
196	0.006351050819
197	0.006349806727
198	0.006345459236
199	0.006342512597
200	0.006340555098
201	0.00633738405
202	0.006333885018
203	0.00633178784
204	0.006328654058
205	0.006325067219
206	0.00632353632
207	0.006321098356
208	0.006318050874
209	0.006316904256
210	0.006314971163
211	0.006311483556
212	0.006308955156
213	0.006306074383
214	0.006302188516
215	0.006299975115
216	0.006297978211
217	0.006296702782
218	0.00629318495
219	0.006289551075
220	0.006286515043
221	0.006283007451
